,Births,Deaths,Date
0,254.0,37.0,1841-01-01
1,239.0,18.0,1841-02-01
2,277.0,12.0,1841-03-01
3,255.0,4.0,1841-04-01
4,255.0,2.0,1841-05-01
5,200.0,10.0,1841-06-01
6,190.0,16.0,1841-07-01
7,222.0,3.0,1841-08-01
8,213.0,4.0,1841-09-01
9,236.0,26.0,1841-10-01
10,235.0,53.0,1841-11-01
11,,,1841-12-01
12,307.0,64.0,1842-01-01
13,311.0,38.0,1842-02-01
14,264.0,27.0,1842-03-01
15,242.0,26.0,1842-04-01
16,310.0,10.0,1842-05-01
17,273.0,18.0,1842-06-01
18,231.0,48.0,1842-07-01
19,216.0,55.0,1842-08-01
20,223.0,41.0,1842-09-01
21,242.0,71.0,1842-10-01
22,209.0,48.0,1842-11-01
23,239.0,75.0,1842-12-01
24,272.0,52.0,1843-01-01
25,263.0,42.0,1843-02-01
26,266.0,33.0,1843-03-01
27,285.0,34.0,1843-04-01
28,246.0,15.0,1843-05-01
29,196.0,8.0,1843-06-01
30,191.0,1.0,1843-07-01
31,193.0,3.0,1843-08-01
32,221.0,5.0,1843-09-01
33,250.0,44.0,1843-10-01
34,252.0,18.0,1843-11-01
35,236.0,19.0,1843-12-01
36,244.0,37.0,1844-01-01
37,257.0,29.0,1844-02-01
38,276.0,47.0,1844-03-01
39,208.0,36.0,1844-04-01
40,240.0,14.0,1844-05-01
41,224.0,6.0,1844-06-01
42,206.0,9.0,1844-07-01
43,269.0,17.0,1844-08-01
44,245.0,3.0,1844-09-01
45,248.0,8.0,1844-10-01
46,245.0,27.0,1844-11-01
47,256.0,27.0,1844-12-01
48,303.0,23.0,1845-01-01
49,274.0,13.0,1845-02-01
50,292.0,13.0,1845-03-01
51,260.0,11.0,1845-04-01
52,296.0,13.0,1845-05-01
53,280.0,20.0,1845-06-01
54,245.0,15.0,1845-07-01
55,251.0,9.0,1845-08-01
56,237.0,25.0,1845-09-01
57,283.0,42.0,1845-10-01
58,265.0,29.0,1845-11-01
59,267.0,28.0,1845-12-01
60,336.0,45.0,1846-01-01
61,293.0,53.0,1846-02-01
62,311.0,48.0,1846-03-01
63,253.0,48.0,1846-04-01
64,305.0,41.0,1846-05-01
65,266.0,27.0,1846-06-01
66,252.0,33.0,1846-07-01
67,216.0,39.0,1846-08-01
68,271.0,39.0,1846-09-01
69,254.0,38.0,1846-10-01
70,297.0,32.0,1846-11-01
71,298.0,16.0,1846-12-01
72,311.0,10.0,1847-01-01
73,312.0,6.0,1847-02-01
74,305.0,11.0,1847-03-01
75,312.0,57.0,1847-04-01
76,294.0,36.0,1847-05-01
77,268.0,6.0,1847-06-01
78,250.0,3.0,1847-07-01
79,264.0,5.0,1847-08-01
80,262.0,12.0,1847-09-01
81,278.0,11.0,1847-10-01
82,246.0,11.0,1847-11-01
83,273.0,8.0,1847-12-01
84,283.0,10.0,1848-01-01
85,291.0,2.0,1848-02-01
86,276.0,0.0,1848-03-01
87,305.0,2.0,1848-04-01
88,313.0,3.0,1848-05-01
89,264.0,3.0,1848-06-01
90,269.0,1.0,1848-07-01
91,261.0,0.0,1848-08-01
92,312.0,3.0,1848-09-01
93,299.0,7.0,1848-10-01
94,310.0,9.0,1848-11-01
95,373.0,5.0,1848-12-01
96,403.0,9.0,1849-01-01
97,389.0,12.0,1849-02-01
98,406.0,20.0,1840-03-01
